Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Dokapon Journey,DS,2008.0,Role-Playing,Sting,0.05,0.0,0.0,0.0,0.05,60.0,16.0,7.0,8.0,Suzak,E10+
Fabulous Finds,DS,2009.0,Puzzle,ValuSoft,0.1,0.0,0.0,0.01,0.11,,,,,THQ,E
Animaniacs Ten Pin Alley,PS,1998.0,Sports,ASC Games,0.36,0.25,0.0,0.04,0.66,,,,,,
Constantine,XB,2005.0,Action,SCi,0.04,0.01,0.0,0.0,0.06,60.0,31.0,7.1000000000000005,17.0,Bits Studios,M
Cool Boarders,PS,1996.0,Sports,Sony Computer Entertainment,0.1,0.07,0.24,0.03,0.43,,,,,,
Pikmin 2,GC,2004.0,Strategy,Nintendo,0.48,0.13,0.56,0.03,1.2000000000000002,90.0,54.0,9.1,137.0,Nintendo,E
Test Drive Unlimited,X360,2006.0,Racing,Atari,0.23,0.04,0.02,0.02,0.32,82.0,69.0,8.0,86.0,Eden Studios,E10+
Tony Hawk's American Wasteland,XB,2005.0,Sports,Activision,0.4,0.2,0.0,0.03,0.62,77.0,40.0,7.7,15.0,Neversoft Entertainment,T
Twisted Metal,PS,TBD,Action,Sony Computer Entertainment,1.32,0.19,0.0,0.05,1.56,,,,,,
Cities XL 2012,PC,2O11,Strategy,Focus Home Interactive,0.01,0.05,0.0,0.01,59739.53,61.0,18.0,5.6000000000000005,95.0,Monte Cristo Multimedia,E
Disney Sing It,Wii,2008.0,Misc,Disney Interactive Studios,0.77,0.31,0.0,0.11,1.19,,,,,Zoe Mode,E
The Sims 3,X360,2010.0,Simulation,Electronic Arts,1.27,0.81,0.0,0.2,2.2800000000000002,76.0,42.0,7.1000000000000005,71.0,The Sims Studio,T
Shin Megami Tensei: Digital Devil Saga,PS2,2004.0,Role-Playing,Ghostlight,0.06,0.05,0.0,0.02,0.13,,42.0,8.200000000000001,48.0,Atlus Co.,M
Ochaken no Heya DS,DS,2006.0,Simulation,MTO,0.0,0.0,0.12,0.0,0.12,,,,,,
Pac-Man World 2,XB,2002.0,Action,Namco Bandai Games,0.36,0.11,0.0,0.02,0.49,66.0,7.0,,,Namco,E
Really? Really! DS,DS,2009.0,Adventure,Kadokawa Shoten,-44.03,0.0,0.01,0.0,0.01,,,,,,
  My Ballet Studio  ,DS,2009.0,Simulation,505 Games,0.01,0.0,0.0,0.0,0.02,,,,,505 Games,E
Custom Robo,GC,2004.0,Role-Playing,Nintendo,0.29,0.07,0.0,0.01,0.37,65.0,31.0,8.1,27.0,Noise Inc.,T
FIFA Soccer 13,PSP,2012.0,Action,Electronic Arts,0.05,0.18,0.02,0.09,0.35000000000000003,,,3.2,19.0,Electronic Arts,E
Gladius,PS2,2003.0,Strategy,Activision,0.1,0.08,0.0,0.03,0.2,78.0,27.0,8.0,22.0,LucasArts,
Just Dance 2014,PS3,2013.0,Misc,Ubisoft,0.17,0.14,0.0,0.06,0.38,77.0,6.0,7.1000000000000005,25.0,Ubisoft,E10+
Brutal Legend,X360,2009.0,Action,Electronic Arts,0.62,0.26,0.0,0.09,7984.2,82.0,88.0,8.0,268.0,Double Fine Productions,M
Nightshade,PS2,2003.0,Action,Sega,0.06,0.04,0.0,0.01,0.12,68.0,39.0,7.7,20.0,Wow Entertainment,M
Kiniro no Corda 2,PS2,2007.0,Role-Playing,Tecmo Koei,0.0,0.0,0.06,0.0,0.06,,,,,,
Digimon World 4,PS2,2005.0,Role-Playing,Atari,0.08,0.06,0.0,0.02,0.15,48.0,7.0,6.9,37.0,Bandai,E
Dai Senryaku VII: Modern Military Tactics,XB,2003.0,Strategy,Kool Kizz,0.03,0.01,0.0,0.0,0.04,74.0,11.0,8.8,6.0,SystemSoft,E
WarioWare: Smooth Moves,Wii,2006.0,Puzzle,Nintendo,0.86,1.04,0.73,0.26,2.89,83.0,61.0,7.4,179.0,Intelligent Systems,E10+
Uta no * Prince-Sama: Repeat,PSP,2011.0,Adventure,Broccoli,0.0,0.0,0.14,0.0,0.14,,,,,,
All Star Pro-Wrestling,PS2,2000.0,Fighting,SquareSoft,0.0,0.0,0.2,0.0,0.2,,,,,,
Black Dawn,PS,1996.0,Simulation,Virgin Interactive,0.07,0.05,0.0,0.01,0.13,,,,,,
Tokyo Twilight Ghost Hunters,PS3,N/A,Role-Playing,Aksys Games,0.03,0.0,0.02,0.01,0.06,64.0,11.0,6.4,17.0,TOYBOX,
Tycoon City: New York,PC,2006.0,Strategy,Atari,0.0,0.02,0.0,0.0,0.02,67.0,30.0,8.3,4.0,Deep Red,T
Ace Combat: Assault Horizon,X360,2011.0,Action,Namco Bandai Games,0.30000000000000004,0.12,0.03,0.04,0.49,78.0,71.0,6.2,82.0,Project Aces,T
Ultraman Fighting Evolution 3,PS2,2004.0,Fighting,Banpresto,0.0,0.0,0.01,0.0,0.01,,,,,,
Afro Samurai,PS3,2009.0,Action,Atari,0.12,0.05,0.0,0.03,0.2,65.0,52.0,6.1000000000000005,27.0,"Namco Bandai Games America, Namco Bandai Games",M
Let's Dance with Mel B,Wii,2011.0,Sports,Black Bean Games,0.0,0.02,0.0,0.0,0.02,,,,,Lightning Fish Games,T
Phantasy Star Universe,PS2,2006.0,Role-Playing,Sega,0.0,0.0,0.19,0.0,0.19,68.0,18.0,8.5,23.0,Sonic Team,T
The Whispered World,PC,2009.0,Adventure,Deep Silver,0.0,0.08,0.0,0.02,0.1,70.0,41.0,7.6000000000000005,77.0,Daedalic Entertainment,E
Odama,GC,2006.0,Misc,Nintendo,0.07,0.02,0.02,0.0,0.11,62.0,42.0,8.0,17.0,Vivarium,E10+
Metal Gear Solid 2: Substance,PS2,2002.0,Action,Konami Digital Entertainment,0.18,0.14,0.16,0.05,0.52,87.0,17.0,9.0,126.0,KCEJ,M
Boogie,PS2,2007.0,Misc,Electronic Arts,0.09,0.07,0.0,0.02,0.19,52.0,12.0,,,"Pipeworks Software, Inc.",E10+
