Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Bulletstorm,X360,2011.0,Shooter,Electronic Arts,0.61,0.32,0.01,0.08,1.02,84.0,83.0,7.6000000000000005,439.0,"Epic Games, People Can Fly",M
Arthur and the Invisibles,DS,2007.0,Adventure,Atari,0.03,0.0,0.0,0.0,0.03,,,,,,
Jake Hunter: Detective Chronicles,DS,2008.0,Adventure,Aksys Games,0.02,0.0,0.0,0.0,0.02,47.0,12.0,,,WorkJam,T
Burnout 2: Point of Impact,PS2,2002.0,Racing,Acclaim Entertainment,0.42,0.32,0.0,0.11,0.85,86.0,31.0,8.200000000000001,48.0,Criterion Games,E
Power Spike Pro Beach Volleyball,PS,2000.0,Sports,Infogrames,0.03,0.02,0.0,0.0,0.05,48.0,10.0,,,Carapace,E
Nobunaga's Ambition: Rise to Power,PS2,TBD,Strategy,Tecmo Koei,0.0,0.0,0.08,0.0,0.08,70.0,7.0,8.8,6.0,Koei,T
Pokemon Ranger: Guardian Signs,DS,na,Role-Playing,Nintendo,0.5,0.16,0.58,0.05,1.29,68.0,25.0,8.200000000000001,25.0,Creatures Inc.,E
Disney Infinity,Wii,2013.0,Action,Disney Interactive Studios,1.05,0.41000000000000003,0.0,0.14,1.6,,,4.2,24.0,Avalanche Software,E10+
SpongeBob SquarePants: Revenge of the Flying Dutchman,PS2,2002.0,Platform,THQ,0.53,0.41000000000000003,0.0,0.14,1.08,,,6.6000000000000005,41.0,,
Hitman: HD Trilogy,PS3,2013.0,Action,Square Enix,0.07,0.09,0.0,0.04,0.21,71.0,20.0,7.6000000000000005,46.0,Io Interactive,
James Bond 007: Agent Under Fire,PS2,2001.0,Shooter,Electronic Arts,1.9000000000000001,1.1300000000000001,0.1,0.41000000000000003,3.5300000000000002,72.0,27.0,7.9,48.0,EA Redwood Shores,T
Judge Dredd: Dredd Vs Death,XB,2003.0,Shooter,Vivendi Games,0.01,0.0,0.0,0.0,0.02,57.0,17.0,6.7,7.0,Rebellion,M
Sengoku,PC,2011.0,Strategy,Paradox Interactive,0.0,0.01,0.0,0.0,88825.51,70.0,13.0,6.800000000000001,86.0,Paradox Development Studio,T
JGTC: All-Japan Grand Touring Car Championship,PS,TBD,Racing,TYO,0.23,0.16,0.0,0.03,56226.68,,,,,,
Blitz: Overtime,PSP,TBD,Sports,Midway Games,-83.69,0.0,0.0,0.01,0.09,,,7.5,4.0,Midway,M
NCAA Basketball 10,PS3,2009.0,Sports,Electronic Arts,0.31,0.0,0.0,0.03,0.33,75.0,17.0,7.800000000000001,6.0,EA Canada,E
Driver,PS,1999.0,Action,GT Interactive,3.11,2.8000000000000003,0.02,0.33,6.2700000000000005,87.0,22.0,8.1,78.0,Reflections Interactive,T
Medal of Honor,PC,2010.0,Shooter,Electronic Arts,0.2,0.23,0.0,0.06,0.49,72.0,26.0,6.4,516.0,"Dice, Danger Close",M
Dragon Ball Z: Attack of the Saiyans,DS,2009.0,Role-Playing,Namco Bandai Games,0.12,0.02,0.21,0.01,0.36,73.0,21.0,7.9,24.0,Monolith Soft,E10+
